Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(605, 606]",0.508333333,0.656666667,0.75,0.733333333,0.577777778,0.456410256,0.793939394,0.536111111,0.8,0.55,0.766666667,0.660606061
"(606, 607]",0.591954023,0.544827586,0.637931034,0.614420063,0.675,0.605128205,0.603030303,0.627777778,0.875757576,0.672222222,0.76969697,0.787878788
"(607, 608]",0.413978495,0.596774194,0.669354839,0.700879765,0.797222222,0.658974359,0.742424242,0.686111111,0.893939394,0.711111111,0.609090909,0.790909091
"(608, 609]",0.502873563,0.45862069,0.655172414,0.655172414,0.770114943,0.724137931,0.652037618,0.761494253,0.774294671,0.729885057,0.652037618,0.811912226
"(609, 610]",0.683333333,0.356666667,0.641666667,0.542424242,0.694444444,0.633333333,0.860606061,0.591666667,0.8,0.619444444,0.639393939,0.815151515
"(610, 611]",0.763888889,0.566666667,0.855555556,0.612121212,0.727777778,0.68974359,0.796969697,0.602777778,0.639393939,0.661111111,0.654545455,0.727272727
"(611, 612]",0.733333333,0.62,0.880555556,0.709090909,0.527777778,0.738461538,0.809090909,0.597222222,0.763636364,0.733333333,0.703030303,0.618181818
"(612, 613]",0.725,0.7,0.798850575,0.805642633,0.683333333,0.728205128,0.778787879,0.677777778,0.618181818,0.636111111,0.766666667,0.706060606
"(613, 614]",0.780555556,0.470967742,0.731182796,0.771260997,0.730555556,0.856410256,0.772727273,0.558333333,0.739393939,0.761111111,0.742424242,0.760606061
"(614, 615]",0.681034483,0.6,0.824712644,0.645768025,0.727011494,0.671087533,0.752351097,0.591954023,0.661442006,0.836206897,0.830721003,0.802507837
"(615, 616]",0.672222222,0.646666667,0.780555556,0.715151515,0.602777778,0.684615385,0.672727273,0.519444444,0.757575758,0.783333333,0.796969697,0.678787879
"(616, 617]",0.791666667,0.573333333,0.838888889,0.745454545,0.638888889,0.682051282,0.712121212,0.566666667,0.675757576,0.708333333,0.648484848,0.790909091
"(617, 618]",0.694444444,0.63,0.755555556,0.751515152,0.638888889,0.682051282,0.566666667,0.391666667,0.742424242,0.719444444,0.624242424,0.618181818
"(618, 619]",0.655555556,0.576666667,0.580555556,0.675757576,0.616666667,0.635897436,0.572727273,0.663888889,0.796969697,0.705555556,0.587878788,0.621212121
"(619, 620]",0.647222222,0.6,0.802777778,0.545454545,0.477777778,0.682051282,0.703030303,0.658333333,0.806060606,0.7,0.615151515,0.642424242
"(620, 621]",0.577586207,0.655172414,0.715517241,0.470219436,0.557471264,0.657824934,0.702194357,0.531609195,0.749216301,0.867816092,0.780564263,0.495297806
"(621, 622]",0.625,0.563333333,0.666666667,0.518181818,0.688888889,0.735897436,0.748484848,0.547222222,0.678787879,0.813888889,0.703030303,0.863636364
"(622, 623]",0.6,0.523333333,0.641666667,0.606060606,0.725,0.684615385,0.793939394,0.583333333,0.618181818,0.752777778,0.678787879,0.903030303
"(623, 624]",0.458333333,0.526666667,0.616666667,0.709090909,0.652777778,0.68974359,0.772727273,0.652777778,0.578787879,0.725,0.781818182,0.724242424
"(624, 625]",0.494444444,0.543333333,0.633333333,0.636363636,0.747222222,0.764102564,0.687878788,0.619444444,0.487878788,0.7,0.733333333,0.775757576
"(625, 626]",0.686111111,0.616666667,0.758333333,0.763636364,0.588888889,0.823076923,0.684848485,0.622222222,0.451515152,0.780555556,0.787878788,0.709090909
"(626, 627]",0.689655172,0.682758621,0.784482759,0.771159875,0.600574713,0.684350133,0.780564263,0.738505747,0.636363636,0.807471264,0.686520376,0.749216301
"(627, 628]",0.691666667,0.683333333,0.780555556,0.724242424,0.766666667,0.717948718,0.709090909,0.563888889,0.763636364,0.719444444,0.745454545,0.875757576
