Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(867, 868]",0.602777778,0.590909091,0.706060606,0.520512821,0.657575758,0.513888889,0.76969697,0.794444444,0.872727273,0.7,0.716666667,0.809090909
"(868, 869]",0.732758621,0.473354232,0.595611285,0.681697613,0.639498433,0.57183908,0.667711599,0.798850575,0.884012539,0.855799373,0.789655172,0.717868339
"(869, 870]",0.533333333,0.612121212,0.627272727,0.641025641,0.724340176,0.642473118,0.715542522,0.830645161,0.815249267,0.724340176,0.65483871,0.741935484
"(870, 871]",0.636111111,0.593939394,0.681818182,0.753846154,0.739811912,0.793103448,0.846394984,0.784482759,0.905956113,0.808777429,0.713793103,0.827586207
"(871, 872]",0.677777778,0.781818182,0.687878788,0.676923077,0.772727273,0.841666667,0.806060606,0.733333333,0.845454545,0.957575758,0.766666667,0.706060606
"(872, 873]",0.747222222,0.684848485,0.860606061,0.7,0.778787879,0.794444444,0.703030303,0.694444444,0.836363636,0.887878788,0.9,0.721212121
"(873, 874]",0.627777778,0.715151515,0.781818182,0.71025641,0.784848485,0.855555556,0.724242424,0.716666667,0.83030303,0.872727273,0.683333333,0.818181818
"(874, 875]",0.729885057,0.626959248,0.92476489,0.673740053,0.742946708,0.784482759,0.623824451,0.956896552,0.802507837,0.833855799,0.786206897,0.868338558
"(875, 876]",0.564516129,0.715542522,0.824242424,0.605128205,0.715542522,0.744623656,0.662756598,0.884408602,0.75659824,0.780058651,0.841935484,0.93255132
"(876, 877]",0.744252874,0.786833856,0.793939394,0.656410256,0.705329154,0.804597701,0.724137931,0.709770115,0.730407524,0.868338558,0.710344828,0.799373041
"(877, 878]",0.713888889,0.757575758,0.86969697,0.58974359,0.651515152,0.769444444,0.742424242,0.805555556,0.793939394,0.815151515,0.806666667,0.733333333
"(878, 879]",0.794444444,0.775757576,0.866666667,0.541025641,0.581818182,0.786111111,0.663636364,0.827777778,0.621212121,0.812121212,0.79,0.784848485
"(879, 880]",0.586111111,0.754545455,0.878787879,0.692307692,0.603030303,0.686111111,0.7,0.733333333,0.660606061,0.757575758,0.72,0.742424242
"(880, 881]",0.66954023,0.661442006,0.815047022,0.75066313,0.664576803,0.732758621,0.777429467,0.689655172,0.724137931,0.815047022,0.765517241,0.648902821
"(881, 882]",0.690860215,0.826979472,0.914956012,0.672456576,0.627565982,0.822580645,0.80058651,0.688172043,0.75659824,0.741935484,0.806451613,0.715542522
"(882, 883]",0.787356322,0.786833856,0.749216301,0.718832891,0.655172414,0.724137931,0.664576803,0.704022989,0.836990596,0.855799373,0.737931034,0.739811912
"(883, 884]",0.708333333,0.748484848,0.809090909,0.728205128,0.660606061,0.719444444,0.866666667,0.752777778,0.796969697,0.83030303,0.613333333,0.672727273
"(884, 885]",0.597222222,0.684848485,0.793939394,0.666666667,0.621212121,0.758333333,0.809090909,0.758333333,0.745454545,0.754545455,0.686666667,0.575757576
