Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(982, 983]",0.103333333,0,0,0.090909091,0.08974359,0.096969697,0.03030303,0.058333333,0,0.248484848,0,0
"(983, 984]",0.06,0,0.01,0.087878788,0.043589744,0.039393939,0.003030303,0.058333333,0.015151515,0.172727273,0,0
"(984, 985]",0.06,0.003030303,0,0.106583072,0,0.075757576,0.045454545,0.055555556,0.003030303,0.115151515,0,0.003333333
"(985, 986]",0.031034483,0,0,0.063636364,0.01061008,0.047021944,0.031347962,0.063218391,0.003134796,0.103448276,0.009404389,0
"(986, 987]",0.016129032,0,0,0.018181818,0.193548387,0.012121212,0,0.034946237,0.014662757,0.120234604,0,0.022580645
"(987, 988]",0.082758621,0,0,0.012121212,0.124668435,0.003030303,0.084639498,0.040229885,0,0.235109718,0,0.010344828
"(988, 989]",0.046666667,0,0,0.036363636,0.08974359,0.033333333,0.063636364,0.091666667,0,0.23030303,0,0
"(989, 990]",0.096666667,0,0,0.036363636,0.1,0.084848485,0.1,0.072222222,0.03030303,0.151515152,0,0
"(990, 991]",0.1,0,0,0.078787879,0.156410256,0.045454545,0.03030303,0.080555556,0.03030303,0.148484848,0,0
"(991, 992]",0.1,0,0,0.097178683,0.153846154,0.018808777,0.090909091,0.031609195,0.015673981,0.12539185,0,0
"(992, 993]",0.077419355,0.005865103,0,0.085043988,0.171215881,0.029325513,0.017595308,0,0,0.085043988,0,0.003333333
"(993, 994]",0.048275862,0,0,0.131661442,0.119363395,0,0.02507837,0.017241379,0,0.087774295,0,0
"(994, 995]",0.026666667,0,0,0.106060606,0.11025641,0,0.072727273,0.1,0.021212121,0.133333333,0,0.01
"(995, 996]",0.016666667,0,0,0.066666667,0.082051282,0.045454545,0.045454545,0.044444444,0.018181818,0.160606061,0,0.006666667
